Code;Typ;Klasse;Bewerb;Leistung;Wind;Name;Vorname;Nation;YOB;RNAT;RORT;Datum;Geschlecht;Umgebung
AR;1;MT13;400;0:48.37;;Sharov;Egor;RUS;1988;ITA;Grosseto;2016-06-16;Male;Outdoor
AR;1;MT20;400;0:47.03;;Pineda Mejia;David Jose;ESP;1998;FRA;Paris;2024-06-14;Male;Outdoor
AR;1;MT32;400;1:30.82;;Mcdonagh;Martin;IRL;1976;GBR;Nottingham;1999-08-14;Male;Outdoor
AR;1;MT33;400;1:00.81;;Small;Andrew;GBR;1993;SUI;Arbon;2023-05-20;Male;Outdoor
AR;1;MT34;400;0:51.38;;Manni;Henry;FIN;1992;SUI;Arbon;2019-06-01;Male;Outdoor
AR;1;MT35;400;0:56.61;;Safronov;Dmitrii;RUS;1995;SUI;Nottwil;2014-05-18;Male;Outdoor
AR;1;MT36;400;0:53.18;;Shvetsov;Evgenii;RUS;1988;UAE;Dubai;2019-11-14;Male;Outdoor
AR;0;MT37;400;0:49.34;;Vdovin;Andrei;RPC;1994;JPN;Tokyo;2021-09-01;Male;Outdoor
AR;1;MT38;400;0:51.37;;Payton;Stephen;GBR;1977;AUS;Sydney;2000-10-27;Male;Outdoor
AR;1;MT43;400;1:22.08;;Stamatiadis;Achileas;GRE;1992;GRE;Thessaloniki;2024-06-01;Male;Outdoor
AR;1;MT44;400;0:56.56;;di Marino;Emanuele;ITA;;POL;Bydgoszcz;2021-06-05;Male;Outdoor
AR;1;MT45;400;0:54.79;;Huseni;Timor;GER;1995;GER;Berlin;2015-06-20;Male;Outdoor
AR;1;MT46;400;0:48.45;;Matzinger;Gunther;AUT;1987;GBR;London;2012-09-04;Male;Outdoor
AR;1;MT47;400;0:48.45;;Matzinger;Gunther;AUT;1987;GBR;London;2012-09-04;Male;Outdoor
AR;1;MT51;400;1:17.21;;Genyn;Peter;BEL;1976;SUI;Nottwil;2018-05-27;Male;Outdoor
AR;1;MT52;400;0:52.00;;Carabin;Maxime;BEL;2000;UAE;Sharjah;2024-02-06;Male;Outdoor
AR;1;MT53;400;0:48.53;;Fairbank;Pierre;FRA;1971;FRA;Paris;2023-07-11;Male;Outdoor
AR;1;MT54;400;0:44.39;;Chiassaro;Richard;GBR;1981;SUI;Nottwil;2018-05-31;Male;Outdoor
AR;1;MT62;400;0:45.78;;Floors;Johannes;GER;1995;UAE;Dubai;2019-11-15;Male;Outdoor
